system_name,edsm_status,direction,steps_from_edge,edge_number,family,subsector,mass_prefix,number
Pha Aeb AD-D b12-1,not_in_edsm,forward,1,0,Pha Aeb AD-D,AD-D,b12,1
Pha Aeb AD-D c12-1,not_in_edsm,forward,1,0,Pha Aeb AD-D,AD-D,c12,1
Pha Aeb AD-I c23-1,not_in_edsm,forward,1,0,Pha Aeb AD-I,AD-I,c23,1
Pha Aeb AD-M c7-1,not_in_edsm,forward,1,0,Pha Aeb AD-M,AD-M,c7,1
Pha Aeb AD-R c18-1,not_in_edsm,forward,1,0,Pha Aeb AD-R,AD-R,c18,1
Pha Aeb AD-V c2-1,not_in_edsm,forward,1,0,Pha Aeb AD-V,AD-V,c2,1
Pha Aeb AD-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb AD-Z,AD-Z,c27,1
Pha Aeb AE-G c24-1,not_in_edsm,forward,1,0,Pha Aeb AE-G,AE-G,c24,1
Pha Aeb AE-K b8-1,not_in_edsm,forward,1,0,Pha Aeb AE-K,AE-K,b8,1
Pha Aeb AE-K c8-1,not_in_edsm,forward,1,0,Pha Aeb AE-K,AE-K,c8,1
Pha Aeb AE-S c4-1,not_in_edsm,forward,1,0,Pha Aeb AE-S,AE-S,c4,1
Pha Aeb AE-T c3-2,not_in_edsm,forward,1,1,Pha Aeb AE-T,AE-T,c3,2
Pha Aeb AE-T d3-2,not_in_edsm,forward,1,1,Pha Aeb AE-T,AE-T,d3,2
Pha Aeb AF-G c24-1,not_in_edsm,forward,1,0,Pha Aeb AF-G,AF-G,c24,1
Pha Aeb AF-H c10-1,not_in_edsm,forward,1,0,Pha Aeb AF-H,AF-H,c10,1
Pha Aeb AF-Q c5-1,not_in_edsm,forward,1,0,Pha Aeb AF-Q,AF-Q,c5,1
Pha Aeb AF-Q d5-1,not_in_edsm,forward,1,0,Pha Aeb AF-Q,AF-Q,d5,1
Pha Aeb AF-R c4-2,not_in_edsm,forward,1,1,Pha Aeb AF-R,AF-R,c4,2
Pha Aeb AF-R d4-4,not_in_edsm,forward,1,3,Pha Aeb AF-R,AF-R,d4,4
Pha Aeb AF-R e4-1,not_in_edsm,forward,1,0,Pha Aeb AF-R,AF-R,e4,1
Pha Aeb AG-F c11-1,not_in_edsm,forward,1,0,Pha Aeb AG-F,AG-F,c11,1
Pha Aeb AG-N c20-1,not_in_edsm,forward,1,0,Pha Aeb AG-N,AG-N,c20,1
Pha Aeb AG-O b6-1,not_in_edsm,forward,1,0,Pha Aeb AG-O,AG-O,b6,1
Pha Aeb AG-O c6-1,not_in_edsm,forward,1,0,Pha Aeb AG-O,AG-O,c6,1
Pha Aeb AG-O d6-1,not_in_edsm,forward,1,0,Pha Aeb AG-O,AG-O,d6,1
Pha Aeb AG-R b4-1,not_in_edsm,forward,1,0,Pha Aeb AG-R,AG-R,b4,1
Pha Aeb AG-W c15-1,not_in_edsm,forward,1,0,Pha Aeb AG-W,AG-W,c15,1
Pha Aeb AG-W d2-1,not_in_edsm,forward,1,0,Pha Aeb AG-W,AG-W,d2,1
Pha Aeb AH-B c27-1,not_in_edsm,forward,1,0,Pha Aeb AH-B,AH-B,c27,1
Pha Aeb AH-D c12-1,not_in_edsm,forward,1,0,Pha Aeb AH-D,AH-D,c12,1
Pha Aeb AH-D d12-3,not_in_edsm,forward,1,2,Pha Aeb AH-D,AH-D,d12,3
Pha Aeb AH-L d8-1,not_in_edsm,forward,1,0,Pha Aeb AH-L,AH-L,d8,1
Pha Aeb AH-R b4-1,not_in_edsm,forward,1,0,Pha Aeb AH-R,AH-R,b4,1
Pha Aeb AH-U c16-1,not_in_edsm,forward,1,0,Pha Aeb AH-U,AH-U,c16,1
Pha Aeb AH-X c1-1,not_in_edsm,forward,1,0,Pha Aeb AH-X,AH-X,c1,1
Pha Aeb AI-D b12-1,not_in_edsm,forward,1,0,Pha Aeb AI-D,AI-D,b12,1
Pha Aeb AI-V c2-1,not_in_edsm,forward,1,0,Pha Aeb AI-V,AI-V,c2,1
Pha Aeb AI-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb AI-Z,AI-Z,c27,1
Pha Aeb AJ-B c13-1,not_in_edsm,forward,1,0,Pha Aeb AJ-B,AJ-B,c13,1
Pha Aeb AJ-G c24-1,not_in_edsm,forward,1,0,Pha Aeb AJ-G,AJ-G,c24,1
Pha Aeb AJ-K c8-1,not_in_edsm,forward,1,0,Pha Aeb AJ-K,AJ-K,c8,1
Pha Aeb AJ-T c3-1,not_in_edsm,forward,1,0,Pha Aeb AJ-T,AJ-T,c3,1
Pha Aeb AJ-T d3-1,not_in_edsm,forward,1,0,Pha Aeb AJ-T,AJ-T,d3,1
Pha Aeb AJ-X c28-1,not_in_edsm,forward,1,0,Pha Aeb AJ-X,AJ-X,c28,1
Pha Aeb AK-G c24-1,not_in_edsm,forward,1,0,Pha Aeb AK-G,AK-G,c24,1
Pha Aeb AK-I c9-1,not_in_edsm,forward,1,0,Pha Aeb AK-I,AK-I,c9,1
Pha Aeb AK-I d9-3,not_in_edsm,forward,1,2,Pha Aeb AK-I,AK-I,d9,3
Pha Aeb AK-Q c5-1,not_in_edsm,forward,1,0,Pha Aeb AK-Q,AK-Q,c5,1
Pha Aeb AK-Q d5-1,not_in_edsm,forward,1,0,Pha Aeb AK-Q,AK-Q,d5,1
Pha Aeb AK-R b4-1,not_in_edsm,forward,1,0,Pha Aeb AK-R,AK-R,b4,1
Pha Aeb AK-R c4-1,not_in_edsm,forward,1,0,Pha Aeb AK-R,AK-R,c4,1
Pha Aeb AK-R d4-3,not_in_edsm,forward,1,2,Pha Aeb AK-R,AK-R,d4,3
Pha Aeb AL-E c25-1,not_in_edsm,forward,1,0,Pha Aeb AL-E,AL-E,c25,1
Pha Aeb AL-F c11-1,not_in_edsm,forward,1,0,Pha Aeb AL-F,AL-F,c11,1
Pha Aeb AL-F d11-1,not_in_edsm,forward,1,0,Pha Aeb AL-F,AL-F,d11,1
Pha Aeb AL-O c6-1,not_in_edsm,forward,1,0,Pha Aeb AL-O,AL-O,c6,1
Pha Aeb AL-P c5-2,not_in_edsm,forward,1,1,Pha Aeb AL-P,AL-P,c5,2
Pha Aeb AL-P d5-4,not_in_edsm,forward,1,3,Pha Aeb AL-P,AL-P,d5,4
Pha Aeb AL-P e5-1,not_in_edsm,forward,1,0,Pha Aeb AL-P,AL-P,e5,1
Pha Aeb AL-X d1-1,not_in_edsm,forward,1,0,Pha Aeb AL-X,AL-X,d1,1
Pha Aeb AM-B c27-1,not_in_edsm,forward,1,0,Pha Aeb AM-B,AM-B,c27,1
Pha Aeb AM-D c12-1,not_in_edsm,forward,1,0,Pha Aeb AM-D,AM-D,c12,1
Pha Aeb AM-L c21-1,not_in_edsm,forward,1,0,Pha Aeb AM-L,AM-L,c21,1
Pha Aeb AM-M d7-1,not_in_edsm,forward,1,0,Pha Aeb AM-M,AM-M,d7,1
Pha Aeb AM-P b5-1,not_in_edsm,forward,1,0,Pha Aeb AM-P,AM-P,b5,1
Pha Aeb AM-P c5-1,not_in_edsm,forward,1,0,Pha Aeb AM-P,AM-P,c5,1
Pha Aeb AM-U c16-1,not_in_edsm,forward,1,0,Pha Aeb AM-U,AM-U,c16,1
Pha Aeb AN-S c17-1,not_in_edsm,forward,1,0,Pha Aeb AN-S,AN-S,c17,1
Pha Aeb AN-V c2-1,not_in_edsm,forward,1,0,Pha Aeb AN-V,AN-V,c2,1
Pha Aeb AN-W b1-1,not_in_edsm,forward,1,0,Pha Aeb AN-W,AN-W,b1,1
Pha Aeb AN-W c1-1,not_in_edsm,forward,1,0,Pha Aeb AN-W,AN-W,c1,1
Pha Aeb AN-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb AN-Z,AN-Z,c27,1
Pha Aeb AO-B c13-1,not_in_edsm,forward,1,0,Pha Aeb AO-B,AO-B,c13,1
Pha Aeb AO-G c24-1,not_in_edsm,forward,1,0,Pha Aeb AO-G,AO-G,c24,1
Pha Aeb AO-K b8-1,not_in_edsm,forward,1,0,Pha Aeb AO-K,AO-K,b8,1
Pha Aeb AO-K c8-1,not_in_edsm,forward,1,0,Pha Aeb AO-K,AO-K,c8,1
Pha Aeb AO-T c3-1,not_in_edsm,forward,1,0,Pha Aeb AO-T,AO-T,c3,1
Pha Aeb AO-W b1-1,not_in_edsm,forward,1,0,Pha Aeb AO-W,AO-W,b1,1
Pha Aeb AO-X c28-1,not_in_edsm,forward,1,0,Pha Aeb AO-X,AO-X,c28,1
Pha Aeb AP-I c9-1,not_in_edsm,forward,1,0,Pha Aeb AP-I,AP-I,c9,1
Pha Aeb AP-I d9-2,not_in_edsm,forward,1,1,Pha Aeb AP-I,AP-I,d9,2
Pha Aeb AP-R d4-2,not_in_edsm,forward,1,1,Pha Aeb AP-R,AP-R,d4,2
Pha Aeb AP-Z b13-1,not_in_edsm,forward,1,0,Pha Aeb AP-Z,AP-Z,b13,1
Pha Aeb AP-Z c13-1,not_in_edsm,forward,1,0,Pha Aeb AP-Z,AP-Z,c13,1
Pha Aeb AQ-E c25-1,not_in_edsm,forward,1,0,Pha Aeb AQ-E,AQ-E,c25,1
Pha Aeb AQ-F d11-1,not_in_edsm,forward,1,0,Pha Aeb AQ-F,AQ-F,d11,1
Pha Aeb AQ-G c10-1,not_in_edsm,forward,1,0,Pha Aeb AQ-G,AQ-G,c10,1
Pha Aeb AQ-G d10-3,not_in_edsm,forward,1,2,Pha Aeb AQ-G,AQ-G,d10,3
Pha Aeb AQ-P b5-1,not_in_edsm,forward,1,0,Pha Aeb AQ-P,AQ-P,b5,1
Pha Aeb AQ-P c5-1,not_in_edsm,forward,1,0,Pha Aeb AQ-P,AQ-P,c5,1
Pha Aeb AQ-P d5-3,not_in_edsm,forward,1,2,Pha Aeb AQ-P,AQ-P,d5,3
Pha Aeb AQ-X d1-1,not_in_edsm,forward,1,0,Pha Aeb AQ-X,AQ-X,d1,1
Pha Aeb AR-C c26-1,not_in_edsm,forward,1,0,Pha Aeb AR-C,AR-C,c26,1
Pha Aeb AR-D d12-1,not_in_edsm,forward,1,0,Pha Aeb AR-D,AR-D,d12,1
Pha Aeb AR-G b10-1,not_in_edsm,forward,1,0,Pha Aeb AR-G,AR-G,b10,1
Pha Aeb AR-L c21-1,not_in_edsm,forward,1,0,Pha Aeb AR-L,AR-L,c21,1
Pha Aeb AR-M d7-1,not_in_edsm,forward,1,0,Pha Aeb AR-M,AR-M,d7,1
Pha Aeb AR-P c5-1,not_in_edsm,forward,1,0,Pha Aeb AR-P,AR-P,c5,1
Pha Aeb AS-B d13-1,not_in_edsm,forward,1,0,Pha Aeb AS-B,AS-B,d13,1
Pha Aeb AS-J c22-1,not_in_edsm,forward,1,0,Pha Aeb AS-J,AS-J,c22,1
Pha Aeb AS-N b6-1,not_in_edsm,forward,1,0,Pha Aeb AS-N,AS-N,b6,1
Pha Aeb AS-N c6-1,not_in_edsm,forward,1,0,Pha Aeb AS-N,AS-N,c6,1
Pha Aeb AS-S c17-1,not_in_edsm,forward,1,0,Pha Aeb AS-S,AS-S,c17,1
Pha Aeb AS-W b1-1,not_in_edsm,forward,1,0,Pha Aeb AS-W,AS-W,b1,1
Pha Aeb AS-W c1-1,not_in_edsm,forward,1,0,Pha Aeb AS-W,AS-W,c1,1
Pha Aeb AT-T c3-1,not_in_edsm,forward,1,0,Pha Aeb AT-T,AT-T,c3,1
Pha Aeb AT-U b2-1,not_in_edsm,forward,1,0,Pha Aeb AT-U,AT-U,b2,1
Pha Aeb AT-U c2-1,not_in_edsm,forward,1,0,Pha Aeb AT-U,AT-U,c2,1
Pha Aeb AT-U d2-3,not_in_edsm,forward,1,2,Pha Aeb AT-U,AT-U,d2,3
Pha Aeb AT-X c28-1,not_in_edsm,forward,1,0,Pha Aeb AT-X,AT-X,c28,1
Pha Aeb AU-E c25-1,not_in_edsm,forward,1,0,Pha Aeb AU-E,AU-E,c25,1
Pha Aeb AU-I b9-1,not_in_edsm,forward,1,0,Pha Aeb AU-I,AU-I,b9,1
Pha Aeb AU-I c9-1,not_in_edsm,forward,1,0,Pha Aeb AU-I,AU-I,c9,1
Pha Aeb AU-R c4-1,not_in_edsm,forward,1,0,Pha Aeb AU-R,AU-R,c4,1
Pha Aeb AU-R d4-1,not_in_edsm,forward,1,0,Pha Aeb AU-R,AU-R,d4,1
Pha Aeb AU-Z b13-1,not_in_edsm,forward,1,0,Pha Aeb AU-Z,AU-Z,b13,1
Pha Aeb AV-F d11-1,not_in_edsm,forward,1,0,Pha Aeb AV-F,AV-F,d11,1
Pha Aeb AV-G c10-1,not_in_edsm,forward,1,0,Pha Aeb AV-G,AV-G,c10,1
Pha Aeb AV-G d10-2,not_in_edsm,forward,1,1,Pha Aeb AV-G,AV-G,d10,2
Pha Aeb AV-X b14-1,not_in_edsm,forward,1,0,Pha Aeb AV-X,AV-X,b14,1
Pha Aeb AV-X c1-1,not_in_edsm,forward,1,0,Pha Aeb AV-X,AV-X,c1,1
Pha Aeb AV-X c14-1,not_in_edsm,forward,1,0,Pha Aeb AV-X,AV-X,c14,1
Pha Aeb AV-X d1-1,not_in_edsm,forward,1,0,Pha Aeb AV-X,AV-X,d1,1
Pha Aeb AW-C c26-1,not_in_edsm,forward,1,0,Pha Aeb AW-C,AW-C,c26,1
Pha Aeb AW-E c11-1,not_in_edsm,forward,1,0,Pha Aeb AW-E,AW-E,c11,1
Pha Aeb AW-E d11-4,not_in_edsm,forward,1,3,Pha Aeb AW-E,AW-E,d11,4
Pha Aeb AW-M d7-1,not_in_edsm,forward,1,0,Pha Aeb AW-M,AW-M,d7,1
Pha Aeb AW-N c6-1,not_in_edsm,forward,1,0,Pha Aeb AW-N,AW-N,c6,1
Pha Aeb AW-N d6-3,not_in_edsm,forward,1,2,Pha Aeb AW-N,AW-N,d6,3
Pha Aeb AW-V c2-1,not_in_edsm,forward,1,0,Pha Aeb AW-V,AW-V,c2,1
Pha Aeb AX-A c27-1,not_in_edsm,forward,1,0,Pha Aeb AX-A,AX-A,c27,1
Pha Aeb AX-A d14-1,not_in_edsm,forward,1,0,Pha Aeb AX-A,AX-A,d14,1
Pha Aeb AX-B c13-1,not_in_edsm,forward,1,0,Pha Aeb AX-B,AX-B,c13,1
Pha Aeb AX-B d13-2,not_in_edsm,forward,1,1,Pha Aeb AX-B,AX-B,d13,2
Pha Aeb AX-E b11-1,not_in_edsm,forward,1,0,Pha Aeb AX-E,AX-E,b11,1
Pha Aeb AX-E c11-1,not_in_edsm,forward,1,0,Pha Aeb AX-E,AX-E,c11,1
Pha Aeb AX-J c22-1,not_in_edsm,forward,1,0,Pha Aeb AX-J,AX-J,c22,1
Pha Aeb AX-N b6-1,not_in_edsm,forward,1,0,Pha Aeb AX-N,AX-N,b6,1
Pha Aeb AX-N c6-1,not_in_edsm,forward,1,0,Pha Aeb AX-N,AX-N,c6,1
Pha Aeb AX-W c1-1,not_in_edsm,forward,1,0,Pha Aeb AX-W,AX-W,c1,1
Pha Aeb AY-H c23-1,not_in_edsm,forward,1,0,Pha Aeb AY-H,AY-H,c23,1
Pha Aeb AY-L c7-1,not_in_edsm,forward,1,0,Pha Aeb AY-L,AY-L,c7,1
Pha Aeb AY-Q c18-1,not_in_edsm,forward,1,0,Pha Aeb AY-Q,AY-Q,c18,1
Pha Aeb AY-U c2-1,not_in_edsm,forward,1,0,Pha Aeb AY-U,AY-U,c2,1
Pha Aeb AY-X c28-1,not_in_edsm,forward,1,0,Pha Aeb AY-X,AY-X,c28,1
Pha Aeb AZ-H c23-1,not_in_edsm,forward,1,0,Pha Aeb AZ-H,AZ-H,c23,1
Pha Aeb AZ-I c9-1,not_in_edsm,forward,1,0,Pha Aeb AZ-I,AZ-I,c9,1
Pha Aeb AZ-R c4-1,not_in_edsm,forward,1,0,Pha Aeb AZ-R,AZ-R,c4,1
Pha Aeb AZ-R d4-1,not_in_edsm,forward,1,0,Pha Aeb AZ-R,AZ-R,d4,1
Pha Aeb AZ-S b3-1,not_in_edsm,forward,1,0,Pha Aeb AZ-S,AZ-S,b3,1
Pha Aeb AZ-S c3-2,not_in_edsm,forward,1,1,Pha Aeb AZ-S,AZ-S,c3,2
Pha Aeb AZ-S d3-4,not_in_edsm,forward,1,3,Pha Aeb AZ-S,AZ-S,d3,4
Pha Aeb BA-H c10-1,not_in_edsm,forward,1,0,Pha Aeb BA-H,BA-H,c10,1
Pha Aeb BA-H d10-1,not_in_edsm,forward,1,0,Pha Aeb BA-H,BA-H,d10,1
Pha Aeb BA-P c19-1,not_in_edsm,forward,1,0,Pha Aeb BA-P,BA-P,c19,1
Pha Aeb BA-Q c5-1,not_in_edsm,forward,1,0,Pha Aeb BA-Q,BA-Q,c5,1
Pha Aeb BA-Q d5-1,not_in_edsm,forward,1,0,Pha Aeb BA-Q,BA-Q,d5,1
Pha Aeb BA-T b3-1,not_in_edsm,forward,1,0,Pha Aeb BA-T,BA-T,b3,1
Pha Aeb BB-E d12-1,not_in_edsm,forward,1,0,Pha Aeb BB-E,BB-E,d12,1
Pha Aeb BB-F b11-1,not_in_edsm,forward,1,0,Pha Aeb BB-F,BB-F,b11,1
Pha Aeb BB-F c11-1,not_in_edsm,forward,1,0,Pha Aeb BB-F,BB-F,c11,1
Pha Aeb BB-F d11-2,not_in_edsm,forward,1,1,Pha Aeb BB-F,BB-F,d11,2
Pha Aeb BB-O b6-1,not_in_edsm,forward,1,0,Pha Aeb BB-O,BB-O,b6,1
Pha Aeb BB-O d6-2,not_in_edsm,forward,1,1,Pha Aeb BB-O,BB-O,d6,2
Pha Aeb BB-W c15-1,not_in_edsm,forward,1,0,Pha Aeb BB-W,BB-W,c15,1
Pha Aeb BC-B c27-1,not_in_edsm,forward,1,0,Pha Aeb BC-B,BC-B,c27,1
Pha Aeb BC-D b12-1,not_in_edsm,forward,1,0,Pha Aeb BC-D,BC-D,b12,1
Pha Aeb BC-D c12-1,not_in_edsm,forward,1,0,Pha Aeb BC-D,BC-D,c12,1
Pha Aeb BC-D d12-4,not_in_edsm,forward,1,3,Pha Aeb BC-D,BC-D,d12,4
Pha Aeb BC-L d8-1,not_in_edsm,forward,1,0,Pha Aeb BC-L,BC-L,d8,1
Pha Aeb BC-X c1-1,not_in_edsm,forward,1,0,Pha Aeb BC-X,BC-X,c1,1
Pha Aeb BD-D b12-1,not_in_edsm,forward,1,0,Pha Aeb BD-D,BD-D,b12,1
Pha Aeb BD-D c12-1,not_in_edsm,forward,1,0,Pha Aeb BD-D,BD-D,c12,1
Pha Aeb BD-I c23-1,not_in_edsm,forward,1,0,Pha Aeb BD-I,BD-I,c23,1
Pha Aeb BD-M c7-1,not_in_edsm,forward,1,0,Pha Aeb BD-M,BD-M,c7,1
Pha Aeb BD-R c18-1,not_in_edsm,forward,1,0,Pha Aeb BD-R,BD-R,c18,1
Pha Aeb BD-V c2-1,not_in_edsm,forward,1,0,Pha Aeb BD-V,BD-V,c2,1
Pha Aeb BD-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb BD-Z,BD-Z,c27,1
Pha Aeb BE-G c24-1,not_in_edsm,forward,1,0,Pha Aeb BE-G,BE-G,c24,1
Pha Aeb BE-K b8-1,not_in_edsm,forward,1,0,Pha Aeb BE-K,BE-K,b8,1
Pha Aeb BE-K c8-1,not_in_edsm,forward,1,0,Pha Aeb BE-K,BE-K,c8,1
Pha Aeb BE-S c4-1,not_in_edsm,forward,1,0,Pha Aeb BE-S,BE-S,c4,1
Pha Aeb BE-T b3-1,not_in_edsm,forward,1,0,Pha Aeb BE-T,BE-T,b3,1
Pha Aeb BE-T c3-1,not_in_edsm,forward,1,0,Pha Aeb BE-T,BE-T,c3,1
Pha Aeb BE-T d3-2,not_in_edsm,forward,1,1,Pha Aeb BE-T,BE-T,d3,2
Pha Aeb BF-G c24-1,not_in_edsm,forward,1,0,Pha Aeb BF-G,BF-G,c24,1
Pha Aeb BF-H c10-1,not_in_edsm,forward,1,0,Pha Aeb BF-H,BF-H,c10,1
Pha Aeb BF-H d10-1,not_in_edsm,forward,1,0,Pha Aeb BF-H,BF-H,d10,1
Pha Aeb BF-Q c5-1,not_in_edsm,forward,1,0,Pha Aeb BF-Q,BF-Q,c5,1
Pha Aeb BF-Q d5-1,not_in_edsm,forward,1,0,Pha Aeb BF-Q,BF-Q,d5,1
Pha Aeb BF-R b4-1,not_in_edsm,forward,1,0,Pha Aeb BF-R,BF-R,b4,1
Pha Aeb BF-R c4-2,not_in_edsm,forward,1,1,Pha Aeb BF-R,BF-R,c4,2
Pha Aeb BF-R d4-4,not_in_edsm,forward,1,3,Pha Aeb BF-R,BF-R,d4,4
Pha Aeb BF-R e4-1,not_in_edsm,forward,1,0,Pha Aeb BF-R,BF-R,e4,1
Pha Aeb BG-F c11-1,not_in_edsm,forward,1,0,Pha Aeb BG-F,BG-F,c11,1
Pha Aeb BG-F d11-1,not_in_edsm,forward,1,0,Pha Aeb BG-F,BG-F,d11,1
Pha Aeb BG-N c20-1,not_in_edsm,forward,1,0,Pha Aeb BG-N,BG-N,c20,1
Pha Aeb BG-O b6-1,not_in_edsm,forward,1,0,Pha Aeb BG-O,BG-O,b6,1
Pha Aeb BG-O c6-1,not_in_edsm,forward,1,0,Pha Aeb BG-O,BG-O,c6,1
Pha Aeb BG-O d6-1,not_in_edsm,forward,1,0,Pha Aeb BG-O,BG-O,d6,1
Pha Aeb BG-R b4-1,not_in_edsm,forward,1,0,Pha Aeb BG-R,BG-R,b4,1
Pha Aeb BG-W c15-1,not_in_edsm,forward,1,0,Pha Aeb BG-W,BG-W,c15,1
Pha Aeb BG-W d2-1,not_in_edsm,forward,1,0,Pha Aeb BG-W,BG-W,d2,1
Pha Aeb BH-B c27-1,not_in_edsm,forward,1,0,Pha Aeb BH-B,BH-B,c27,1
Pha Aeb BH-D c12-1,not_in_edsm,forward,1,0,Pha Aeb BH-D,BH-D,c12,1
Pha Aeb BH-D d12-3,not_in_edsm,forward,1,2,Pha Aeb BH-D,BH-D,d12,3
Pha Aeb BH-L d8-1,not_in_edsm,forward,1,0,Pha Aeb BH-L,BH-L,d8,1
Pha Aeb BH-R b4-1,not_in_edsm,forward,1,0,Pha Aeb BH-R,BH-R,b4,1
Pha Aeb BH-U c16-1,not_in_edsm,forward,1,0,Pha Aeb BH-U,BH-U,c16,1
Pha Aeb BH-X c1-1,not_in_edsm,forward,1,0,Pha Aeb BH-X,BH-X,c1,1
Pha Aeb BI-D b12-1,not_in_edsm,forward,1,0,Pha Aeb BI-D,BI-D,b12,1
Pha Aeb BI-V c2-1,not_in_edsm,forward,1,0,Pha Aeb BI-V,BI-V,c2,1
Pha Aeb BI-Z c27-1,not_in_edsm,forward,1,0,Pha Aeb BI-Z,BI-Z,c27,1
Pha Aeb BJ-B c13-1,not_in_edsm,forward,1,0,Pha Aeb BJ-B,BJ-B,c13,1
Pha Aeb BJ-G c24-1,not_in_edsm,forward,1,0,Pha Aeb BJ-G,BJ-G,c24,1
Pha Aeb BJ-K c8-1,not_in_edsm,forward,1,0,Pha Aeb BJ-K,BJ-K,c8,1
Pha Aeb BJ-T c3-1,not_in_edsm,forward,1,0,Pha Aeb BJ-T,BJ-T,c3,1
Pha Aeb BJ-T d3-2,not_in_edsm,forward,1,1,Pha Aeb BJ-T,BJ-T,d3,2
Pha Aeb BJ-X c28-1,not_in_edsm,forward,1,0,Pha Aeb BJ-X,BJ-X,c28,1
Pha Aeb BK-G c24-1,not_in_edsm,forward,1,0,Pha Aeb BK-G,BK-G,c24,1
Pha Aeb BK-I b9-1,not_in_edsm,forward,1,0,Pha Aeb BK-I,BK-I,b9,1
Pha Aeb BK-I c9-1,not_in_edsm,forward,1,0,Pha Aeb BK-I,BK-I,c9,1
Pha Aeb BK-I d9-3,not_in_edsm,forward,1,2,Pha Aeb BK-I,BK-I,d9,3
Pha Aeb BK-Q d5-1,not_in_edsm,forward,1,0,Pha Aeb BK-Q,BK-Q,d5,1
Pha Aeb BK-R b4-1,not_in_edsm,forward,1,0,Pha Aeb BK-R,BK-R,b4,1
Pha Aeb BK-R c4-2,not_in_edsm,forward,1,1,Pha Aeb BK-R,BK-R,c4,2
Pha Aeb BK-R d4-2,not_in_edsm,forward,1,1,Pha Aeb BK-R,BK-R,d4,2
Pha Aeb BL-E c25-1,not_in_edsm,forward,1,0,Pha Aeb BL-E,BL-E,c25,1
Pha Aeb BL-F c11-1,not_in_edsm,forward,1,0,Pha Aeb BL-F,BL-F,c11,1
Pha Aeb BL-F d11-1,not_in_edsm,forward,1,0,Pha Aeb BL-F,BL-F,d11,1
Pha Aeb BL-P c5-1,not_in_edsm,forward,1,0,Pha Aeb BL-P,BL-P,c5,1
Pha Aeb BL-P d5-4,not_in_edsm,forward,1,3,Pha Aeb BL-P,BL-P,d5,4
Pha Aeb BL-P e5-1,not_in_edsm,forward,1,0,Pha Aeb BL-P,BL-P,e5,1
Pha Aeb BL-X c1-1,not_in_edsm,forward,1,0,Pha Aeb BL-X,BL-X,c1,1
Pha Aeb BL-X d1-1,not_in_edsm,forward,1,0,Pha Aeb BL-X,BL-X,d1,1
Pha Aeb BM-D c12-1,not_in_edsm,forward,1,0,Pha Aeb BM-D,BM-D,c12,1
Pha Aeb BM-D d12-1,not_in_edsm,forward,1,0,Pha Aeb BM-D,BM-D,d12,1
Pha Aeb BM-L c21-1,not_in_edsm,forward,1,0,Pha Aeb BM-L,BM-L,c21,1
