system_name,edsm_status,direction,steps_from_edge,spansh_edge_number,family,subsector,mass_prefix,number
Syreadiae AC-Y c3-1,not_in_edsm,forward,1,0,Syreadiae AC-Y,AC-Y,c3,1
Syreadiae AD-E c1-1,not_in_edsm,forward,1,0,Syreadiae AD-E,AD-E,c1,1
Syreadiae AD-H d11-1,not_in_edsm,forward,1,0,Syreadiae AD-H,AD-H,d11,1
Syreadiae AD-K c25-1,not_in_edsm,forward,1,0,Syreadiae AD-K,AD-K,c25,1
Syreadiae AD-M c10-1,not_in_edsm,forward,1,0,Syreadiae AD-M,AD-M,c10,1
Syreadiae AD-U b9-1,not_in_edsm,forward,1,0,Syreadiae AD-U,AD-U,b9,1
Syreadiae AD-V c5-1,not_in_edsm,forward,1,0,Syreadiae AD-V,AD-V,c5,1
Syreadiae AE-C c2-1,not_in_edsm,forward,1,0,Syreadiae AE-C,AE-C,c2,1
Syreadiae AE-E d13-4,not_in_edsm,forward,1,3,Syreadiae AE-E,AE-E,d13,4
Syreadiae AE-I c26-1,not_in_edsm,forward,1,0,Syreadiae AE-I,AE-I,c26,1
Syreadiae AE-K c11-1,not_in_edsm,forward,1,0,Syreadiae AE-K,AE-K,c11,1
Syreadiae AE-M b41-1,not_in_edsm,forward,1,0,Syreadiae AE-M,AE-M,b41,1
Syreadiae AE-Q b25-1,not_in_edsm,forward,1,0,Syreadiae AE-Q,AE-Q,b25,1
Syreadiae AE-R c21-1,not_in_edsm,forward,1,0,Syreadiae AE-R,AE-R,c21,1
Syreadiae AE-T c6-1,not_in_edsm,forward,1,0,Syreadiae AE-T,AE-T,c6,1
Syreadiae AF-B b6-1,not_in_edsm,forward,1,0,Syreadiae AF-B,AF-B,b6,1
Syreadiae AF-C c2-1,not_in_edsm,forward,1,0,Syreadiae AF-C,AF-C,c2,1
Syreadiae AF-D c1-1,not_in_edsm,forward,1,0,Syreadiae AF-D,AF-D,c1,1
Syreadiae AF-G c27-1,not_in_edsm,forward,1,0,Syreadiae AF-G,AF-G,c27,1
Syreadiae AF-I c12-1,not_in_edsm,forward,1,0,Syreadiae AF-I,AF-I,c12,1
Syreadiae AF-P c22-1,not_in_edsm,forward,1,0,Syreadiae AF-P,AF-P,c22,1
Syreadiae AF-Q b25-1,not_in_edsm,forward,1,0,Syreadiae AF-Q,AF-Q,b25,1
Syreadiae AF-U b9-1,not_in_edsm,forward,1,0,Syreadiae AF-U,AF-U,b9,1
Syreadiae AF-X d2-2,not_in_edsm,forward,1,1,Syreadiae AF-X,AF-X,d2,2
Syreadiae AF-Y d1-1,not_in_edsm,forward,1,0,Syreadiae AF-Y,AF-Y,d1,1
Syreadiae AG-A c3-1,not_in_edsm,forward,1,0,Syreadiae AG-A,AG-A,c3,1
Syreadiae AG-B c2-1,not_in_edsm,forward,1,0,Syreadiae AG-B,AG-B,c2,1
Syreadiae AG-D c29-1,not_in_edsm,forward,1,0,Syreadiae AG-D,AG-D,c29,1
Syreadiae AG-F c14-1,not_in_edsm,forward,1,0,Syreadiae AG-F,AG-F,c14,1
Syreadiae AG-I b2-1,not_in_edsm,forward,1,0,Syreadiae AG-I,AG-I,b2,1
Syreadiae AG-M d8-1,not_in_edsm,forward,1,0,Syreadiae AG-M,AG-M,d8,1
Syreadiae AG-P b53-1,not_in_edsm,forward,1,0,Syreadiae AG-P,AG-P,b53,1
Syreadiae AG-V b22-1,not_in_edsm,forward,1,0,Syreadiae AG-V,AG-V,b22,1
Syreadiae AG-V d3-1,not_in_edsm,forward,1,0,Syreadiae AG-V,AG-V,d3,1
Syreadiae AG-W c18-1,not_in_edsm,forward,1,0,Syreadiae AG-W,AG-W,c18,1
Syreadiae AG-W d2-1,not_in_edsm,forward,1,0,Syreadiae AG-W,AG-W,d2,1
Syreadiae AH-A b34-1,not_in_edsm,forward,1,0,Syreadiae AH-A,AH-A,b34,1
Syreadiae AH-F c14-1,not_in_edsm,forward,1,0,Syreadiae AH-F,AH-F,c14,1
Syreadiae AH-H b2-1,not_in_edsm,forward,1,0,Syreadiae AH-H,AH-H,b2,1
Syreadiae AH-J d10-2,not_in_edsm,forward,1,1,Syreadiae AH-J,AH-J,d10,2
Syreadiae AH-S d5-3,not_in_edsm,forward,1,2,Syreadiae AH-S,AH-S,d5,3
Syreadiae AH-Y c3-1,not_in_edsm,forward,1,0,Syreadiae AH-Y,AH-Y,c3,1
Syreadiae AI-I c26-1,not_in_edsm,forward,1,0,Syreadiae AI-I,AI-I,c26,1
Syreadiae AI-I d10-1,not_in_edsm,forward,1,0,Syreadiae AI-I,AI-I,d10,1
Syreadiae AI-L b14-1,not_in_edsm,forward,1,0,Syreadiae AI-L,AI-L,b14,1
Syreadiae AI-M c10-1,not_in_edsm,forward,1,0,Syreadiae AI-M,AI-M,c10,1
Syreadiae AI-Q d6-3,not_in_edsm,forward,1,2,Syreadiae AI-Q,AI-Q,d6,3
Syreadiae AI-W c4-1,not_in_edsm,forward,1,0,Syreadiae AI-W,AI-W,c4,1
Syreadiae AJ-C c2-1,not_in_edsm,forward,1,0,Syreadiae AJ-C,AJ-C,c2,1
Syreadiae AJ-I c26-1,not_in_edsm,forward,1,0,Syreadiae AJ-I,AJ-I,c26,1
Syreadiae AJ-J b15-1,not_in_edsm,forward,1,0,Syreadiae AJ-J,AJ-J,b15,1
Syreadiae AJ-K c11-1,not_in_edsm,forward,1,0,Syreadiae AJ-K,AJ-K,c11,1
Syreadiae AJ-S b10-1,not_in_edsm,forward,1,0,Syreadiae AJ-S,AJ-S,b10,1
Syreadiae AJ-T c6-1,not_in_edsm,forward,1,0,Syreadiae AJ-T,AJ-T,c6,1
Syreadiae AK-C b5-1,not_in_edsm,forward,1,0,Syreadiae AK-C,AK-C,b5,1
Syreadiae AK-C c2-1,not_in_edsm,forward,1,0,Syreadiae AK-C,AK-C,c2,1
Syreadiae AK-G c27-1,not_in_edsm,forward,1,0,Syreadiae AK-G,AK-G,c27,1
Syreadiae AK-H b30-1,not_in_edsm,forward,1,0,Syreadiae AK-H,AK-H,b30,1
Syreadiae AK-O b26-1,not_in_edsm,forward,1,0,Syreadiae AK-O,AK-O,b26,1
Syreadiae AK-P c22-1,not_in_edsm,forward,1,0,Syreadiae AK-P,AK-P,c22,1
Syreadiae AK-R c7-1,not_in_edsm,forward,1,0,Syreadiae AK-R,AK-R,c7,1
Syreadiae AK-Y d1-1,not_in_edsm,forward,1,0,Syreadiae AK-Y,AK-Y,d1,1
Syreadiae AK-Z a13-1,not_in_edsm,forward,1,0,Syreadiae AK-Z,AK-Z,a13,1
Syreadiae AL-A c3-1,not_in_edsm,forward,1,0,Syreadiae AL-A,AL-A,c3,1
Syreadiae AL-B c2-1,not_in_edsm,forward,1,0,Syreadiae AL-B,AL-B,c2,1
Syreadiae AL-E c28-1,not_in_edsm,forward,1,0,Syreadiae AL-E,AL-E,c28,1
Syreadiae AL-F c14-1,not_in_edsm,forward,1,0,Syreadiae AL-F,AL-F,c14,1
Syreadiae AL-N c23-1,not_in_edsm,forward,1,0,Syreadiae AL-N,AL-N,c23,1
Syreadiae AL-O b26-1,not_in_edsm,forward,1,0,Syreadiae AL-O,AL-O,b26,1
Syreadiae AL-R c7-1,not_in_edsm,forward,1,0,Syreadiae AL-R,AL-R,c7,1
Syreadiae AL-S b10-1,not_in_edsm,forward,1,0,Syreadiae AL-S,AL-S,b10,1
Syreadiae AL-V d3-2,not_in_edsm,forward,1,1,Syreadiae AL-V,AL-V,d3,2
Syreadiae AL-W c18-1,not_in_edsm,forward,1,0,Syreadiae AL-W,AL-W,c18,1
Syreadiae AL-W d2-1,not_in_edsm,forward,1,0,Syreadiae AL-W,AL-W,d2,1
Syreadiae AL-Z b6-1,not_in_edsm,forward,1,0,Syreadiae AL-Z,AL-Z,b6,1
Syreadiae AM-G a10-1,not_in_edsm,forward,1,0,Syreadiae AM-G,AM-G,a10,1
Syreadiae AM-G b3-1,not_in_edsm,forward,1,0,Syreadiae AM-G,AM-G,b3,1
Syreadiae AM-J d10-3,not_in_edsm,forward,1,2,Syreadiae AM-J,AM-J,d10,3
Syreadiae AM-K d9-1,not_in_edsm,forward,1,0,Syreadiae AM-K,AM-K,d9,1
Syreadiae AM-P c8-1,not_in_edsm,forward,1,0,Syreadiae AM-P,AM-P,c8,1
Syreadiae AM-T d4-2,not_in_edsm,forward,1,1,Syreadiae AM-T,AM-T,d4,2
Syreadiae AM-U c19-1,not_in_edsm,forward,1,0,Syreadiae AM-U,AM-U,c19,1
Syreadiae AN-D c15-1,not_in_edsm,forward,1,0,Syreadiae AN-D,AN-D,c15,1
Syreadiae AN-E a11-1,not_in_edsm,forward,1,0,Syreadiae AN-E,AN-E,a11,1
Syreadiae AN-E b4-1,not_in_edsm,forward,1,0,Syreadiae AN-E,AN-E,b4,1
Syreadiae AN-H d11-3,not_in_edsm,forward,1,2,Syreadiae AN-H,AN-H,d11,3
Syreadiae AN-Q d6-4,not_in_edsm,forward,1,3,Syreadiae AN-Q,AN-Q,d6,4
Syreadiae AN-W c4-1,not_in_edsm,forward,1,0,Syreadiae AN-W,AN-W,c4,1
Syreadiae AN-Y b34-1,not_in_edsm,forward,1,0,Syreadiae AN-Y,AN-Y,b34,1
Syreadiae AO-C b19-1,not_in_edsm,forward,1,0,Syreadiae AO-C,AO-C,b19,1
Syreadiae AO-D c1-1,not_in_edsm,forward,1,0,Syreadiae AO-D,AO-D,c1,1
Syreadiae AO-E b4-1,not_in_edsm,forward,1,0,Syreadiae AO-E,AO-E,b4,1
Syreadiae AO-F d12-2,not_in_edsm,forward,1,1,Syreadiae AO-F,AO-F,d12,2
Syreadiae AO-K c11-1,not_in_edsm,forward,1,0,Syreadiae AO-K,AO-K,c11,1
Syreadiae AO-T c6-1,not_in_edsm,forward,1,0,Syreadiae AO-T,AO-T,c6,1
Syreadiae AO-U c5-1,not_in_edsm,forward,1,0,Syreadiae AO-U,AO-U,c5,1
Syreadiae AP-D c1-1,not_in_edsm,forward,1,0,Syreadiae AP-D,AP-D,c1,1
Syreadiae AP-G c27-1,not_in_edsm,forward,1,0,Syreadiae AP-G,AP-G,c27,1
Syreadiae AP-I c12-1,not_in_edsm,forward,1,0,Syreadiae AP-I,AP-I,c12,1
Syreadiae AP-R c7-1,not_in_edsm,forward,1,0,Syreadiae AP-R,AP-R,c7,1
Syreadiae AP-Y d1-1,not_in_edsm,forward,1,0,Syreadiae AP-Y,AP-Y,d1,1
Syreadiae AQ-A c3-1,not_in_edsm,forward,1,0,Syreadiae AQ-A,AQ-A,c3,1
Syreadiae AQ-B c2-1,not_in_edsm,forward,1,0,Syreadiae AQ-B,AQ-B,c2,1
Syreadiae AQ-E c28-1,not_in_edsm,forward,1,0,Syreadiae AQ-E,AQ-E,c28,1
Syreadiae AQ-G c13-1,not_in_edsm,forward,1,0,Syreadiae AQ-G,AQ-G,c13,1
Syreadiae AQ-J b1-1,not_in_edsm,forward,1,0,Syreadiae AQ-J,AQ-J,b1,1
Syreadiae AQ-M b27-1,not_in_edsm,forward,1,0,Syreadiae AQ-M,AQ-M,b27,1
Syreadiae AQ-N c23-1,not_in_edsm,forward,1,0,Syreadiae AQ-N,AQ-N,c23,1
Syreadiae AQ-Q b11-1,not_in_edsm,forward,1,0,Syreadiae AQ-Q,AQ-Q,b11,1
Syreadiae AQ-R c7-1,not_in_edsm,forward,1,0,Syreadiae AQ-R,AQ-R,c7,1
Syreadiae AQ-V d3-3,not_in_edsm,forward,1,2,Syreadiae AQ-V,AQ-V,d3,3
Syreadiae AQ-W d2-1,not_in_edsm,forward,1,0,Syreadiae AQ-W,AQ-W,d2,1
Syreadiae AQ-X d1-1,not_in_edsm,forward,1,0,Syreadiae AQ-X,AQ-X,d1,1
Syreadiae AR-C c29-1,not_in_edsm,forward,1,0,Syreadiae AR-C,AR-C,c29,1
Syreadiae AR-H b2-1,not_in_edsm,forward,1,0,Syreadiae AR-H,AR-H,b2,1
Syreadiae AR-L c24-1,not_in_edsm,forward,1,0,Syreadiae AR-L,AR-L,c24,1
Syreadiae AR-Q b11-1,not_in_edsm,forward,1,0,Syreadiae AR-Q,AR-Q,b11,1
Syreadiae AR-U c19-1,not_in_edsm,forward,1,0,Syreadiae AR-U,AR-U,c19,1
Syreadiae AR-X b7-1,not_in_edsm,forward,1,0,Syreadiae AR-X,AR-X,b7,1
Syreadiae AR-Y c3-1,not_in_edsm,forward,1,0,Syreadiae AR-Y,AR-Y,c3,1
Syreadiae AR-Z c2-1,not_in_edsm,forward,1,0,Syreadiae AR-Z,AR-Z,c2,1
Syreadiae AS-E b4-1,not_in_edsm,forward,1,0,Syreadiae AS-E,AS-E,b4,1
Syreadiae AS-H d11-3,not_in_edsm,forward,1,2,Syreadiae AS-H,AS-H,d11,3
Syreadiae AS-J c25-1,not_in_edsm,forward,1,0,Syreadiae AS-J,AS-J,c25,1
Syreadiae AS-M b13-1,not_in_edsm,forward,1,0,Syreadiae AS-M,AS-M,b13,1
Syreadiae AS-N c9-1,not_in_edsm,forward,1,0,Syreadiae AS-N,AS-N,c9,1
Syreadiae AS-P b39-1,not_in_edsm,forward,1,0,Syreadiae AS-P,AS-P,b39,1
Syreadiae AS-W c4-1,not_in_edsm,forward,1,0,Syreadiae AS-W,AS-W,c4,1
Syreadiae AT-B c16-1,not_in_edsm,forward,1,0,Syreadiae AT-B,AT-B,c16,1
Syreadiae AT-D c1-2,not_in_edsm,forward,1,1,Syreadiae AT-D,AT-D,c1,2
Syreadiae AT-F d12-3,not_in_edsm,forward,1,2,Syreadiae AT-F,AT-F,d12,3
Syreadiae AT-L c10-1,not_in_edsm,forward,1,0,Syreadiae AT-L,AT-L,c10,1
Syreadiae AT-U c5-1,not_in_edsm,forward,1,0,Syreadiae AT-U,AT-U,c5,1
Syreadiae AU-A b20-1,not_in_edsm,forward,1,0,Syreadiae AU-A,AU-A,b20,1
Syreadiae AU-D c1-1,not_in_edsm,forward,1,0,Syreadiae AU-D,AU-D,c1,1
Syreadiae AU-I c12-1,not_in_edsm,forward,1,0,Syreadiae AU-I,AU-I,c12,1
Syreadiae AU-R c7-1,not_in_edsm,forward,1,0,Syreadiae AU-R,AU-R,c7,1
Syreadiae AV-B c2-1,not_in_edsm,forward,1,0,Syreadiae AV-B,AV-B,c2,1
Syreadiae AV-E c28-1,not_in_edsm,forward,1,0,Syreadiae AV-E,AV-E,c28,1
Syreadiae AV-G c13-1,not_in_edsm,forward,1,0,Syreadiae AV-G,AV-G,c13,1
Syreadiae AV-J a8-1,not_in_edsm,forward,1,0,Syreadiae AV-J,AV-J,a8,1
Syreadiae AV-J b1-1,not_in_edsm,forward,1,0,Syreadiae AV-J,AV-J,b1,1
Syreadiae AV-N d7-1,not_in_edsm,forward,1,0,Syreadiae AV-N,AV-N,d7,1
Syreadiae AV-R b10-1,not_in_edsm,forward,1,0,Syreadiae AV-R,AV-R,b10,1
Syreadiae AV-V d3-2,not_in_edsm,forward,1,1,Syreadiae AV-V,AV-V,d3,2
Syreadiae AV-X e1-1,not_in_edsm,forward,1,0,Syreadiae AV-X,AV-X,e1,1
Syreadiae AW-C c29-1,not_in_edsm,forward,1,0,Syreadiae AW-C,AW-C,c29,1
Syreadiae AW-H b2-1,not_in_edsm,forward,1,0,Syreadiae AW-H,AW-H,b2,1
Syreadiae AW-J b1-1,not_in_edsm,forward,1,0,Syreadiae AW-J,AW-J,b1,1
Syreadiae AW-L c24-1,not_in_edsm,forward,1,0,Syreadiae AW-L,AW-L,c24,1
Syreadiae AW-L d8-1,not_in_edsm,forward,1,0,Syreadiae AW-L,AW-L,d8,1
Syreadiae AW-P c8-1,not_in_edsm,forward,1,0,Syreadiae AW-P,AW-P,c8,1
Syreadiae AW-T d4-3,not_in_edsm,forward,1,2,Syreadiae AW-T,AW-T,d4,3
Syreadiae AW-U d3-1,not_in_edsm,forward,1,0,Syreadiae AW-U,AW-U,d3,1
Syreadiae AW-V d2-1,not_in_edsm,forward,1,0,Syreadiae AW-V,AW-V,d2,1
Syreadiae AW-Y c3-1,not_in_edsm,forward,1,0,Syreadiae AW-Y,AW-Y,c3,1
Syreadiae AX-J c25-1,not_in_edsm,forward,1,0,Syreadiae AX-J,AX-J,c25,1
Syreadiae AX-N c9-1,not_in_edsm,forward,1,0,Syreadiae AX-N,AX-N,c9,1
Syreadiae AX-O b12-1,not_in_edsm,forward,1,0,Syreadiae AX-O,AX-O,b12,1
Syreadiae AX-V b8-1,not_in_edsm,forward,1,0,Syreadiae AX-V,AX-V,b8,1
Syreadiae AX-W c4-1,not_in_edsm,forward,1,0,Syreadiae AX-W,AX-W,c4,1
Syreadiae AY-C b5-1,not_in_edsm,forward,1,0,Syreadiae AY-C,AY-C,b5,1
Syreadiae AY-D c1-2,not_in_edsm,forward,1,1,Syreadiae AY-D,AY-D,c1,2
Syreadiae AY-F d12-3,not_in_edsm,forward,1,2,Syreadiae AY-F,AY-F,d12,3
Syreadiae AY-L c10-1,not_in_edsm,forward,1,0,Syreadiae AY-L,AY-L,c10,1
Syreadiae AY-R b24-1,not_in_edsm,forward,1,0,Syreadiae AY-R,AY-R,b24,1
Syreadiae AY-T b9-1,not_in_edsm,forward,1,0,Syreadiae AY-T,AY-T,b9,1
Syreadiae AY-U c5-1,not_in_edsm,forward,1,0,Syreadiae AY-U,AY-U,c5,1
Syreadiae AZ-C b5-1,not_in_edsm,forward,1,0,Syreadiae AZ-C,AZ-C,b5,1
Syreadiae AZ-D c1-1,not_in_edsm,forward,1,0,Syreadiae AZ-D,AZ-D,c1,1
Syreadiae AZ-R b24-1,not_in_edsm,forward,1,0,Syreadiae AZ-R,AZ-R,b24,1
Syreadiae AZ-V b8-1,not_in_edsm,forward,1,0,Syreadiae AZ-V,AZ-V,b8,1
Syreadiae AZ-Z c16-1,not_in_edsm,forward,1,0,Syreadiae AZ-Z,AZ-Z,c16,1
Syreadiae BA-B b6-1,not_in_edsm,forward,1,0,Syreadiae BA-B,BA-B,b6,1
Syreadiae BA-C c2-1,not_in_edsm,forward,1,0,Syreadiae BA-C,BA-C,c2,1
Syreadiae BA-H c13-1,not_in_edsm,forward,1,0,Syreadiae BA-H,BA-H,c13,1
Syreadiae BA-K b1-1,not_in_edsm,forward,1,0,Syreadiae BA-K,BA-K,b1,1
Syreadiae BA-K b56-1,not_in_edsm,forward,1,0,Syreadiae BA-K,BA-K,b56,1
Syreadiae BA-Q c8-1,not_in_edsm,forward,1,0,Syreadiae BA-Q,BA-Q,c8,1
Syreadiae BA-R a4-1,not_in_edsm,forward,1,0,Syreadiae BA-R,BA-R,a4,1
Syreadiae BA-X d2-1,not_in_edsm,forward,1,0,Syreadiae BA-X,BA-X,d2,1
Syreadiae BA-Y d1-1,not_in_edsm,forward,1,0,Syreadiae BA-Y,BA-Y,d1,1
Syreadiae BA-Z b20-1,not_in_edsm,forward,1,0,Syreadiae BA-Z,BA-Z,b20,1
Syreadiae BB-A c3-1,not_in_edsm,forward,1,0,Syreadiae BB-A,BB-A,c3,1
Syreadiae BB-D c29-1,not_in_edsm,forward,1,0,Syreadiae BB-D,BB-D,c29,1
Syreadiae BB-D d13-1,not_in_edsm,forward,1,0,Syreadiae BB-D,BB-D,d13,1
Syreadiae BB-I b2-1,not_in_edsm,forward,1,0,Syreadiae BB-I,BB-I,b2,1
Syreadiae BB-L d9-2,not_in_edsm,forward,1,1,Syreadiae BB-L,BB-L,d9,2
Syreadiae BB-M d8-1,not_in_edsm,forward,1,0,Syreadiae BB-M,BB-M,d8,1
Syreadiae BB-U d4-2,not_in_edsm,forward,1,1,Syreadiae BB-U,BB-U,d4,2
Syreadiae BB-V d3-1,not_in_edsm,forward,1,0,Syreadiae BB-V,BB-V,d3,1
Syreadiae BB-W e2-1,not_in_edsm,forward,1,0,Syreadiae BB-W,BB-W,e2,1
Syreadiae BC-B d1-6,not_in_edsm,forward,1,5,Syreadiae BC-B,BC-B,d1,6
Syreadiae BC-B d14-1,not_in_edsm,forward,1,0,Syreadiae BC-B,BC-B,d14,1
Syreadiae BC-I b2-1,not_in_edsm,forward,1,0,Syreadiae BC-I,BC-I,b2,1
Syreadiae BC-J d10-2,not_in_edsm,forward,1,1,Syreadiae BC-J,BC-J,d10,2
Syreadiae BC-K c25-1,not_in_edsm,forward,1,0,Syreadiae BC-K,BC-K,c25,1
Syreadiae BC-K d9-1,not_in_edsm,forward,1,0,Syreadiae BC-K,BC-K,d9,1
Syreadiae BC-O c9-1,not_in_edsm,forward,1,0,Syreadiae BC-O,BC-O,c9,1
Syreadiae BC-S d5-2,not_in_edsm,forward,1,1,Syreadiae BC-S,BC-S,d5,2
Syreadiae BC-X b7-1,not_in_edsm,forward,1,0,Syreadiae BC-X,BC-X,b7,1
Syreadiae BC-X c4-1,not_in_edsm,forward,1,0,Syreadiae BC-X,BC-X,c4,1
Syreadiae BD-E c1-1,not_in_edsm,forward,1,0,Syreadiae BD-E,BD-E,c1,1
Syreadiae BD-K c25-1,not_in_edsm,forward,1,0,Syreadiae BD-K,BD-K,c25,1
Syreadiae BD-M c10-1,not_in_edsm,forward,1,0,Syreadiae BD-M,BD-M,c10,1
Syreadiae BD-U b9-1,not_in_edsm,forward,1,0,Syreadiae BD-U,BD-U,b9,1
Syreadiae BD-V c5-1,not_in_edsm,forward,1,0,Syreadiae BD-V,BD-V,c5,1
Syreadiae BD-W a1-1,not_in_edsm,forward,1,0,Syreadiae BD-W,BD-W,a1,1
Syreadiae BE-C c2-2,not_in_edsm,forward,1,1,Syreadiae BE-C,BE-C,c2,2
Syreadiae BE-E d13-3,not_in_edsm,forward,1,2,Syreadiae BE-E,BE-E,d13,3
Syreadiae BE-I c26-1,not_in_edsm,forward,1,0,Syreadiae BE-I,BE-I,c26,1
Syreadiae BE-K c11-1,not_in_edsm,forward,1,0,Syreadiae BE-K,BE-K,c11,1
Syreadiae BE-M b41-1,not_in_edsm,forward,1,0,Syreadiae BE-M,BE-M,b41,1
Syreadiae BE-Q b25-1,not_in_edsm,forward,1,0,Syreadiae BE-Q,BE-Q,b25,1
Syreadiae BE-S a17-1,not_in_edsm,forward,1,0,Syreadiae BE-S,BE-S,a17,1
Syreadiae BE-T c6-1,not_in_edsm,forward,1,0,Syreadiae BE-T,BE-T,c6,1
Syreadiae BF-B b6-1,not_in_edsm,forward,1,0,Syreadiae BF-B,BF-B,b6,1
Syreadiae BF-C c2-1,not_in_edsm,forward,1,0,Syreadiae BF-C,BF-C,c2,1
Syreadiae BF-D c1-1,not_in_edsm,forward,1,0,Syreadiae BF-D,BF-D,c1,1
Syreadiae BF-G c27-1,not_in_edsm,forward,1,0,Syreadiae BF-G,BF-G,c27,1
Syreadiae BF-P c22-1,not_in_edsm,forward,1,0,Syreadiae BF-P,BF-P,c22,1
Syreadiae BF-Q b25-1,not_in_edsm,forward,1,0,Syreadiae BF-Q,BF-Q,b25,1
Syreadiae BF-U b9-1,not_in_edsm,forward,1,0,Syreadiae BF-U,BF-U,b9,1
Syreadiae BF-X d2-2,not_in_edsm,forward,1,1,Syreadiae BF-X,BF-X,d2,2
Syreadiae BG-A c3-1,not_in_edsm,forward,1,0,Syreadiae BG-A,BG-A,c3,1
Syreadiae BG-D c29-1,not_in_edsm,forward,1,0,Syreadiae BG-D,BG-D,c29,1
Syreadiae BG-F c14-1,not_in_edsm,forward,1,0,Syreadiae BG-F,BG-F,c14,1
Syreadiae BG-I b2-1,not_in_edsm,forward,1,0,Syreadiae BG-I,BG-I,b2,1
Syreadiae BG-M d8-1,not_in_edsm,forward,1,0,Syreadiae BG-M,BG-M,d8,1
Syreadiae BG-P b53-1,not_in_edsm,forward,1,0,Syreadiae BG-P,BG-P,b53,1
